BCD_Cumulative_Rainfall_per_Event,BLN_Cumulative_Rainfall_per_Event,BLO_Cumulative_Rainfall_per_Event,SCH_Cumulative_Rainfall_per_Event,date_hour,discharge,gage_height,NAVD88 ft,flood_stage,Total_Cumulative_Event_Rainfall,new_event,event_duration,rainfall_intensity,event_hours,is_peak,pre_peak_hours,post_peak_hours,pre_peak_cumulative_rain,post_peak_cumulative_rain,pre_peak_intensity,post_peak_intensity,hourly_rainfall,hourly_rainfall_in_inches,low_rainfall,gage_height_change_5hr,stable_gage_height,stable_and_low_rainfall,flood_category,time_from_start,hour_gap,new_event_corrected,time_from_start_corrected
0.0,0.0,1.168333333333333,0.0,2017-02-09 06:00:00,2890.0,9.61,239.67,No Flooding,1.168333333333333,15360,246.0,0.0047493224932249,181,False,0,181,1.168333333333333,1.168333333333333,1.168333333333333,0.0064548802946592,0.0016666666666662,0.0199999999999951,True,-0.5600000000000005,False,False,Major Flooding,181,1.0,13,181
0.0,0.0,1.169166666666667,0.0,2017-02-09 07:00:00,2770.0,9.52,239.58,No Flooding,1.169166666666667,15360,246.0,0.0047527100271002,182,False,0,182,1.169166666666667,1.169166666666667,1.169166666666667,0.0064239926739926,0.0008333333333339,0.0100000000000068,True,-0.5,False,False,Major Flooding,182,1.0,13,182
0.0,0.0,1.169166666666667,0.0,2017-02-09 08:00:00,2720.0,9.4,239.46,No Flooding,1.169166666666667,15360,246.0,0.0047527100271002,183,False,0,183,1.169166666666667,1.169166666666667,1.169166666666667,0.0063888888888888,0.0,0.0,True,-0.5399999999999991,False,False,Major Flooding,183,1.0,13,183
0.0,0.0,1.1716666666666669,0.0,2017-02-09 09:00:00,2620.0,9.39,239.45,No Flooding,1.1716666666666669,15360,246.0,0.0047628726287262,184,False,0,184,1.1716666666666669,1.1716666666666669,1.1716666666666669,0.0063677536231884,0.0024999999999999,0.0299999999999993,True,-0.4199999999999999,False,False,Major Flooding,184,1.0,13,184
0.0,0.0,1.1716666666666669,0.0,2017-02-09 10:00:00,2550.0,9.28,239.34,No Flooding,1.1716666666666669,15360,246.0,0.0047628726287262,185,False,0,185,1.1716666666666669,1.1716666666666669,1.1716666666666669,0.0063333333333333,0.0,0.0,True,-0.4700000000000006,False,False,Major Flooding,185,1.0,13,185
0.0,0.0,1.1716666666666669,0.0,2017-02-09 11:00:00,2480.0,9.22,239.28,No Flooding,1.1716666666666669,15360,246.0,0.0047628726287262,186,False,0,186,1.1716666666666669,1.1716666666666669,1.1716666666666669,0.0062992831541218,0.0,0.0,True,-0.3899999999999988,False,False,Major Flooding,186,1.0,13,186
0.0,0.0,1.2225,0.0,2017-02-09 12:00:00,2400.0,9.4,239.46,No Flooding,1.2225,15360,246.0,0.0049695121951219,187,False,0,187,1.2225,1.2225,1.2225,0.0065374331550802,0.050833333333333,0.6099999999999968,False,-0.1199999999999992,False,False,Major Flooding,187,1.0,13,187
0.0,0.0,1.2600000000000005,0.0,2017-02-09 13:00:00,2330.0,9.98,240.04,No Flooding,1.2600000000000005,15360,246.0,0.0051219512195121,188,False,0,188,1.2600000000000005,1.2600000000000005,1.2600000000000005,0.0067021276595744,0.0375000000000005,0.4500000000000064,False,0.5800000000000001,False,False,Major Flooding,188,1.0,13,188
0.0,0.0,1.2783333333333335,0.0,2017-02-09 14:00:00,2270.0,10.8,240.86,No Flooding,1.2783333333333335,15360,246.0,0.0051964769647696,189,False,0,189,1.2783333333333335,1.2783333333333335,1.2783333333333335,0.006763668430335,0.018333333333333,0.2199999999999971,False,1.41,False,False,Major Flooding,189,1.0,13,189
0.0033333333333326,0.0,1.3033333333333337,0.0,2017-02-09 15:00:00,2220.0,11.61,241.67,No Flooding,1.3066666666666662,15360,246.0,0.0053116531165311,190,False,0,190,1.3066666666666662,1.3066666666666662,1.3066666666666662,0.0068771929824561,0.0283333333333326,0.3399999999999918,False,2.33,False,False,Major Flooding,190,1.0,13,190
