Latitude,Longitude,Distance_From_Gage,Major_Flooding_NAVD88,Moderate_Flooding_NAVD88,Minor_Flooding_NAVD88,Action_Flooding_NAVD88,Elevation_Factor,Interpolated_Major_Flooding_NAVD88,Interpolated_Moderate_Flooding_NAVD88,Interpolated_Minor_Flooding_NAVD88,Interpolated_Action_Flooding_NAVD88
37.138605,-122.130779,11670.389224457278,251.82,249.56,246.56,244.06,0.5037086282062859,126.84390675490693,125.70552525516072,124.19439937054186,122.93512780002614
37.138614,-122.130784,11671.481416166303,251.82,249.56,246.56,244.06,0.5036620955636051,126.83218890482704,125.69391256885329,124.18292628216247,122.92377104325345
37.138712,-122.130839,11683.396120368843,251.82,249.56,246.56,244.06,0.5031544716101153,126.70435904085923,125.56722993502036,124.05776652019003,122.79988034116474
37.138737,-122.130853,11686.43437921014,251.82,249.56,246.56,244.06,0.5030250271070436,126.6717623260957,125.53492576483379,124.02585068351266,122.76828811574505
37.138752,-122.130861,11688.241538798457,251.82,249.56,246.56,244.06,0.5029480333790237,126.65237376550574,125.51571121006916,124.00686710993209,122.74949702648453
37.138757,-122.130864,11688.857088936333,251.82,249.56,246.56,244.06,0.5029218079697102,126.64576968293242,125.50916639692088,124.00040097301175,122.74309645308747
37.138761,-122.130867,11689.373223329976,251.82,249.56,246.56,244.06,0.5028998181513329,126.64023220686865,125.50367861784663,123.99497916339264,122.7377296180143
37.138766,-122.130871,11690.02826428675,251.82,249.56,246.56,244.06,0.5028719102423724,126.63320443723423,125.49671392008646,123.98809818935935,122.73091841375341
37.138771,-122.130874,11690.643814332872,251.82,249.56,246.56,244.06,0.5028456848369682,126.62660035564534,125.49016910791379,123.98163205340289,122.72451784131047
37.138775,-122.130878,11691.199440711136,251.82,249.56,246.56,244.06,0.5028220124692784,126.62063918001368,125.48426143183312,123.97579539442528,122.71874036325208
37.13878,-122.130883,11691.893975441506,251.82,249.56,246.56,244.06,0.5027924219347866,126.61318769161795,125.47687681804534,123.96849955224098,122.71151849740401
37.138785,-122.130888,11692.588512124908,251.82,249.56,246.56,244.06,0.502762831317086,126.60573618226859,125.46949218349198,123.96120368954072,122.70429661124801
37.138796,-122.130898,11694.07700374391,251.82,249.56,246.56,244.06,0.5026994143838974,126.58976653015304,125.45366585364545,123.94556761049375,122.68881907453401
37.138816,-122.130919,11696.89468314132,251.82,249.56,246.56,244.06,0.5025793676306531,126.55953635675107,125.4237069859058,123.91596888301385,122.65952046393721
37.138847,-122.130928,11700.331912043348,251.82,249.56,246.56,244.06,0.5024329250757533,126.5226591925762,125.387160781905,123.87986200667774,122.62377969398835
37.138861,-122.130932,11701.881679531352,251.82,249.56,246.56,244.06,0.5023668974945497,126.50603212707749,125.37068293873982,123.86358224625616,122.6076650025198
37.138872,-122.130936,11703.13321127839,251.82,249.56,246.56,244.06,0.5023135761965509,126.49260475781546,125.35737607561126,123.8504353470216,122.59465140653022
37.138877,-122.130938,11703.709270774012,251.82,249.56,246.56,244.06,0.5022890332793588,126.48642436040814,125.35125114519678,123.84438404535871,122.58866146216032
37.138882,-122.13094,11704.285330917492,251.82,249.56,246.56,244.06,0.5022644903345647,126.48024395605007,125.34512620789395,123.83833273689027,122.58267151105385
37.138886,-122.130942,11704.761975172762,251.82,249.56,246.56,244.06,0.5022441829868407,126.47513015974623,125.34005830619597,123.83332575723544,122.57771529976834
37.138891,-122.130944,11705.338036241654,251.82,249.56,246.56,244.06,0.5022196400026195,126.46894974545965,125.33393335905373,123.82727443904588,122.57172533903933
37.138896,-122.130947,11705.953586336513,251.82,249.56,246.56,244.06,0.502193414595139,126.4623456633479,125.32738854636288,123.82080830257748,122.56532476608963
37.138901,-122.13095,11706.56913642706,251.82,249.56,246.56,244.06,0.5021671891878419,126.45574158128234,125.32084373371782,123.81434216615429,122.5589241931847
37.138905,-122.130953,11707.085269730436,251.82,249.56,246.56,244.06,0.5021451994159153,126.45020411691578,125.31535596623583,123.80892036798808,122.55355736944828
37.13891,-122.130956,11707.70081978511,251.82,249.56,246.56,244.06,0.5021189740101466,126.44360003523511,125.30881115397219,123.80245423194175,122.54715679691638
37.138914,-122.13096,11708.25644257361,251.82,249.56,246.56,244.06,0.5020953017953982,126.43763889811717,125.30290351605957,123.79661761067338,122.54137935618488
37.138919,-122.130963,11708.87199253978,251.82,249.56,246.56,244.06,0.5020690763934003,126.43103481738605,125.29635870473697,123.79015147555677,122.53497878457327
37.138923,-122.130967,11709.427616489684,251.82,249.56,246.56,244.06,0.5020454041291704,126.4250736678077,125.29045105447577,123.78431484208826,122.52920133176534
37.138927,-122.130972,11710.022733204229,251.82,249.56,246.56,244.06,0.5020200492823954,126.4186888102928,125.2841234989146,123.77806335106742,122.52301322786143
37.138931,-122.130976,11710.57836047596,251.82,249.56,246.56,244.06,0.5019963768766396,126.41272762507538,125.27821581333417,123.77222668270426,122.51723574051265
37.138939,-122.130985,11711.729113289675,251.82,249.56,246.56,244.06,0.5019473492480171,126.40038148763566,125.26598047833515,123.7601384305911,122.50527005747105
37.138955,-122.131004,11714.070144850146,251.82,249.56,246.56,244.06,0.5018476099950933,126.37526514896437,125.24108955037548,123.73554672039019,122.48092769540246
37.139006,-122.131065,11721.549768371908,251.82,249.56,246.56,244.06,0.5015289419024416,126.29501814987283,125.16156274117331,123.65697591546599,122.4031535607099
37.139014,-122.131074,11722.700613947518,251.82,249.56,246.56,244.06,0.5014799103217145,126.28267101721413,125.14932641988706,123.64488668892191,122.39118691311764
37.139018,-122.131079,11723.295799551292,251.82,249.56,246.56,244.06,0.5014545525399254,126.27628542060403,125.14299813186379,123.63863447424401,122.38499809289421
37.139022,-122.131083,11723.851468323002,251.82,249.56,246.56,244.06,0.5014308783660701,126.27032379014378,125.13709000503647,123.63279736993826,122.37922017402308
37.139027,-122.131087,11724.506535289092,251.82,249.56,246.56,244.06,0.5014029693489871,126.26329574146193,125.13012503073323,123.62591612268626,122.3724086993138
37.139031,-122.131091,11725.06220603659,251.82,249.56,246.56,244.06,0.5013792950909537,126.25733408980396,125.12421688289841,123.62007899762554,122.36663075989816
37.139035,-122.131094,11725.57835617693,251.82,249.56,246.56,244.06,0.501357304601691,126.25179644479783,125.11872893639801,123.61465702259294,122.36126376108872
